score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
9.0,I'd have loved staying longer,The staff was very kind and helpful. The common areas are really cozy and pleasant to be in. I really enjoyed the sauna. The shower in one of the rooms I stayed in was smaller than I had expected but other than that the room was quite comfortable and quiet so I had a very relaxing stay.,I'd have appreciated having breakfast included but the complementary coffee and tea helped.,Canada,Deluxe Single Room,1 night ·,Solo traveller,August 2022,20 September 2022,,
7.0,Good,The food in the breakfast restaurant was very deliciousStaff are very friendlyLocation is amazing,The room is very smallThere is no room service,Saudi Arabia,Deluxe Double Room,6 nights ·,Solo traveller,September 2022,20 September 2022,,
8.0,Chilled out and super-clean hotel,This hotel is super-clean. Staff are friendly and helpful. Good location. Chilled out vibe. Felt very relaxed in the public areas.,Room was very small and in the basement. If I stay again…and I would like to stay again I would request a bigger room on a higher floor. It was a last minute booking to attend the Queen’s funeral so it didn’t matter too much. Would have been disappointed if I’d booked for a weekend and been put in the basement.,United Kingdom,Deluxe Double Room,1 night ·,Family,September 2022,19 September 2022,,
8.0,I will visit it again and again. but if they reduce the price,"everything was great clean , comfortable, new",price very high,France,Deluxe Double Room,2 nights ·,Couple,September 2022,18 September 2022,,
8.0,Lovely hotel for a great value in a perfect location. Highly recommend!,"This was a great hotel for a great value! Location was perfect for us because we wanted to stay near Paddington and have easy access to tons of tube lines as well as the Heathrow express to the airport for an early morning flight. The room was neat and comfortable. The staff were very nice, and they even upgraded us to a room with a bathtub as well as a shower and with more floor space for our luggage! It’s located on a lovely street that is a pleasant 8-10 min walk to the train station.","We had a really hard time getting our air conditioning to stay on consistently overnight. I think most of the year that wouldn’t really matter, we just happened to be staying during a week when it was warm and I have a hard time sleeping when I’m too hot. We usually just solved it by cracking a window open and let in lovely fresh air, so it wasn’t a huge deal. A true Londoner wouldn’t even be bothered, we are just Texans who are used to having AC haha!",United States,Deluxe Double Room,8 nights ·,Couple,September 2022,16 September 2022,,
7.0,"Hreat location, Extremely clean, and much storage space was provided for space. shower was amazing!",Great proximity to local stations and restaurants,"No accessible mirror for hair, understand sustainability but a/c cuts off after hour so would wake up to adjust multiple times a night, staff would just stare and not really speak, person above was loud when walking - felt like I was in an apt, and another lock should be added for safely on main floor in single rooms -several times folks tried to enter my room while I was in there.",United States,Deluxe Single Room,3 nights ·,Solo traveller,September 2022,15 September 2022,1,
9.0,Great place within walking distance of Hyde Park and Central London.,Great location for the area I wanted to be in.,,United States,Deluxe Twin Room,2 nights ·,Couple,September 2022,14 September 2022,,
7.0,Good,Location and cleanliness; Rooms well appointed,Funny plumbing sounds; room rather airless; Trouble accessing Internet,Canada,Deluxe Single Room,1 night ·,Solo traveller,September 2022,14 September 2022,,
8.0,Excellent choice if you want a modern and well located hotel in London.,"The hotel is excellently located near Paddington Station and other stations and bus lines are also very close.  The hotel is very nicely appointed and the rooms are bright, modern and very clean.  I very much enjoyed the stay.","The front desk staff was fine, but not as friendly as they perhaps could have been.  They didn't seem as welcoming and courteous as one might expect from a hotel of this kind.",Germany,Deluxe Double Room,2 nights ·,Group,September 2022,12 September 2022,1,
8.0,Very good,"Clean comfortable room, great location",Staff on check in a little difficult to understand,United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,September 2022,12 September 2022,,
8.0,Very good,A very relaxing atmosphere with excellent staff and the breakfast was amazing.,The lower ground rooms were very small and I would Prefer tea and coffee in the room.,United Kingdom,Deluxe Twin Room,2 nights ·,Group,September 2022,12 September 2022,,
9.0,great place to spend a few nights in London in the heart of a great neighborhood with excellent public transport links,"great location with easy access to Elizabeth Line and Heathrow Airport, comfortable well appointed rooms.  Excellent cafe attached with good coffee and many plant based options, great for travelers with food allergies",shower was very small,Australia,King Room,4 nights ·,Couple,September 2022,12 September 2022,,
9.0,Superb,The settings of bedroom are great. Love the wooden recycled theme.,The bathroom is way to small.,United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,September 2022,10 September 2022,,
9.0,Superb,Central and wery close to all amenaties,Could not get aircon on when getting ready to go out till reception had to switch it on from there which took 1 hour to sort which made us late for the party we were attending.,United Kingdom,Deluxe Twin Room,1 night ·,Couple,June 2022,6 September 2022,1,
9.0,"Great location, friendly staff and very clean","very modern, clean and had extra facilities that we didn’t know about beforehand so was a pleasant surprise such as the sauna","a bit warm in room, there was an aircon but struggled abit to adjust it.",United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,4 September 2022,,
8.0,Modern and sleek design hotel with friendly staff,The clean and sleek Scandinavian design. a nice reading room where we can lounge. Friendly staff.,I know it is standard but very small room.,United States,Deluxe Twin Room,1 night ·,Couple,September 2022,3 September 2022,,
9.0,Superb,the Staff was exceptional helpful and kind,,Canada,Deluxe Single Room,1 night ·,Solo traveller,August 2022,30 August 2022,,
9.0,Near perfect. Would book again.,Almost everything.,"One minor point was that I had a room next to lift. It was quite noisy. it didn't bother me that much, but I can imagine it will annoy other people. Apart from that, excellent hotel.",United Kingdom,Deluxe Single Room,2 nights ·,Solo traveller,August 2022,30 August 2022,,
7.0,Good,Convenient. Good quality. Friendly and helpful staff.,"Very small rooms. Bed too small for 'plus size' couples, as was shower door.No Instructions on how to get air con to work so very hot.",United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,29 August 2022,,
8.0,Very good,I like the concept of the hotel: sustainable and inspired by Sweden style. Amazing location and healthy and tasty breakfast,"The room was too small, the bathroom as well.. i couldn't close the door where I was in the bathroom",Italy,Deluxe Single Room,4 nights ·,Solo traveller,August 2022,25 August 2022,,
9.0,Superb,"small rooms but clever layout allowing us space to store two suitcases and hang clothes. bed was comfortable, shower pressure and temperature were also great. the air conditioner was ideal as we stayed during the summer heatwave.",room is quite tight and a lot of stairs up however the hotel staff were very helpful in carrying our bags up to the room for us.,Australia,Deluxe Double Room,2 nights ·,Couple,August 2022,23 August 2022,,
7.0,Good,location and clean,fire alarm in the middle of the night,United Kingdom,Deluxe Double Room,2 nights ·,Group,August 2022,17 August 2022,,
8.0,"Great location, very good stay","Good bed, great bathroom. Great library and the whole reception. The hotel itself is very airy and clean.","Small hallways by the rooms, a bit too small of a room.",Croatia,Deluxe Double Room,4 nights ·,Couple,August 2022,16 August 2022,1,
9.0,Superb,the room was spotlessly clean and beautifully decorated.,would of liked a small fridge in the room,Australia,Deluxe Double Room,2 nights ·,Solo traveller,August 2022,16 August 2022,1,
8.0,Very good,,Coffee /tea making in room,United Kingdom,Deluxe Single Room,2 nights ·,Family,August 2022,14 August 2022,1,
9.0,Inhabit was a great find and I will certainly use it again.,"The location is very good - within 10 minutes walk of 3 Tube stations.  The room was very clean, bed and pillows very comfortable, shower was excellent and air conditioning worked well and easy to use on a very hot night.  Staff were very friendly at reception and in the restaurant.  The menu was very nice and varied for breakfast.","I only had a small overnight bag, but a suitcase would have been difficult in the room and also up and down a few stairs to my room.  So access to my particular room would not work for someone with mobility problems, so best ask for a room that suits that purpose.",United Kingdom,Deluxe Twin Room,1 night ·,Group,August 2022,14 August 2022,,
9.0,"Thoughtful, stylish, good l",The water bottle reusable and water available. Thoughtful bits in room. Simple decor but stylish,Bed size for two adults. Noisy room handles and locks when neighbours open and close doors late night.,Oman,Deluxe Double Room,2 nights ·,Family,July 2022,13 August 2022,1,
9.0,"Cool design, clean and great location","Cool design, nice interior, clean, great and quiet location",The bed was a little too small for two (fair enough it was in the description so no surprise) and really only one side to get into the bed - despite that we would stay again in the hotel.,Switzerland,Deluxe Double Room,3 nights ·,Group,August 2022,12 August 2022,1,
9.0,Superb,"Beautifully designed facility, super friendly staff! Exceptionally clean. Free coffee. Worked from the library as my room was too small to work from. Hope to have more time next time to try the sauna.","I stayed at a single bed room, which was even smaller than expected and from what I've seen. There was no chance of me doing some zoom calls or anything in that room. Unfortunately my room was located next to one of the doors in the hallway so it was quite noisy when people were leaving their rooms etc. Next time I'd pay the additional fee for an upgrade to a better/bigger room. Not sure if they have fridges in their room. That would've been helpful.",Germany,Deluxe Single Room,3 nights ·,Solo traveller,August 2022,11 August 2022,1,
9.0,Would stay again,"Very nice place to stay, clean and nice staff",,United Kingdom,Deluxe Single Room,2 nights ·,Solo traveller,August 2022,9 August 2022,1,
8.0,Slept very well!,very comfortable bed and extremely quiet.,The smell from the vent outside our bedroom window - we would rather have had the window open but used the efficient air con instead.The seal on the shower door was loose - not that it affected our stay!,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,7 August 2022,,
8.0,Overall it was an ok stay. I would visit again.,Excellent location,I think the shower hot and cold water mixer could have been better. Some staff are not so friendly.,Nigeria,Deluxe Single Room,6 nights ·,Solo traveller,July 2022,5 August 2022,,
9.0,Superb,"Cool vibe, nice staff",,Australia,Deluxe Single Room,1 night ·,Couple,July 2022,4 August 2022,1,
9.0,High end features but perhaps small rooms.,"Filled with items that one usually finds only in high end hotels. Electronics- USB connector, good WiFi, multi country plug adapters. Filtered water - both still and sparkling. Quality sheets and bedding. Windows that open!",This is a hard one. My room was small. Very small. it was a bit like a submarine. Everything was well designed to fit into this space. But it’s small. Too many pillows.,Germany,Deluxe Double Room,2 nights ·,Family,July 2022,4 August 2022,1,
9.0,Superb,"the facilities &amp; the staff were incredible, I felt at home here",absolutely nothing,Australia,Deluxe Single Room,6 nights ·,Solo traveller,June 2022,2 August 2022,1,
9.0,Good energy,The vibe of the room and the decor .,The gym facilities needed more options .,United States,Deluxe Twin Room,3 nights ·,Family,July 2022,2 August 2022,1,
8.0,Good stay and sleep,"The room is nice and isolated, the bed was absolutely comfortable, so we could sleep very well. The location is good, is only 3 blocks away from Paddington station, one of the main stations in London, and near of other bus and underground routes so you can move easily from there. We did not include breakfast in our reservation, but only once took it in the hotel and it was ok. Staff was always nice and attentive to our needs.","Although the rooms are comfortable and have all the necessary, the room assigned to us was too small for two people. Unfortunately there was no possibility of a change as the hotel was full at the moment, so we could manage. However, number of people should be taken into consideration when assigning the rooms. Also, more hangers for towels should be nice in the bathroom. But non of these are deal breakers.",Mexico,Deluxe Double Room,7 nights ·,Couple,July 2022,1 August 2022,1,
8.0,Better than expected,"A particulary cosy hotel/room, considering what we have experienced previously in London. Even though the room is small, it doesn’t stand out. The average in London is even smaller. Very clean, comfortable bed, functional safety box, nicely built furniture, efficient for a small surface (you can storage your luggages under the bed), good air conditioning system. The towels were changed every day.","The staff, except a lady who was kind enough to smile when we checked out. She was the only one to ask us about our stay. For a 4-stars hotel, the staff must, not should, be more polite and friendly.We didn’t have a proper window, so there was no fresh air.No slippers.",Romania,Deluxe Double Room,4 nights ·,Couple,July 2022,31 July 2022,1,
8.0,Very good,location,dark rooms,Australia,Deluxe Double Room,1 night ·,Couple,July 2022,31 July 2022,1,
9.0,Superior stay in London,I really like their concept of sustainably bottle glass instead of plastic and the toilet amenity are use my favourite brand.,There are many stairs while passing from lift to our room.,United Kingdom,Deluxe Double Room,4 nights ·,Couple,July 2022,30 July 2022,1,
8.0,Very good,Location was excellent. Rooms were as expected.,There was no fridge in the room.,Sweden,King Room,2 nights ·,Group,July 2022,28 July 2022,1,
9.0,Superb,Everything,Nothing,Saudi Arabia,Deluxe Single Room,4 nights ·,Solo traveller,July 2022,27 July 2022,1,
9.0,Superb,"Location was great and convenient. The room was comfortable and my room was cleaned everyday, with new towels and making of the bed. The staff were really friendly and I could easily leave my luggage there when I arrived early before check-in and after check-out. I would definitely return if I was in London.",Breakfast was rather expensive.,Singapore,Deluxe Single Room,6 nights ·,Solo traveller,July 2022,26 July 2022,1,
8.0,"beautiful hotel, great location, would stay again.","loved the decor, very friendly and helpful staff, great location.","no towel hooks in the bathroom, shower gels/soaps very strong and sickly smelling, we were celebrating a big birthday and had hoped they could do something a bit special for us but they didn’t.",United Kingdom,Deluxe Double Room,3 nights ·,Couple,July 2022,26 July 2022,1,
9.0,would stay again,Sustainable feeling and lovely room,We did miss a toilet brush,Netherlands,Deluxe Double Room,2 nights ·,Couple,July 2022,24 July 2022,1,
9.0,Superb,Outstanding breakfast,,United States,Triple Room,2 nights ·,Family,July 2022,24 July 2022,1,
8.0,It is a lovely place. I’ll be back there each time I come to London,"Such a calm atmosphere and well designed rooms which are small but just perfect in my opinion. The library is lovely, fruit to take up to your room, fresh coffee in the foyer and the toiletries provided are great.",The breakfast situation is disappointing as a hotel guest. I think there should be a set price for hotel guests to have a selection from the menu with coffee and toast included as you would expect when staying in any hotel. Despite being vegan I didn’t have my breakfasts there.,United Kingdom,Deluxe Single Room,2 nights ·,Group,July 2022,23 July 2022,,
8.0,Very good,"The Reception team were very professional and helpfulThe Room, while a little small, was very clean and comfortableLocation was good - near Paddington Station, food options and the London Parks",,Singapore,King Room,1 night ·,Family,July 2022,22 July 2022,,
8.0,well-maintained and small hotel for a quick stop in London,well-located near Paddington station. you can many restaurants here.,the room is rather small.,Netherlands,Deluxe Single Room,1 night ·,Solo traveller,July 2022,21 July 2022,,
8.0,Relieved that a central hotel had excellent air conditioning,"The air conditioning was perfect, especially in view of our being at Inhabit on the two hottest days in the UK.  The location of the hotel was perfect but we chose it for that reason.  Partner was due to go into St. Mary's Hospital for an operation and we booked the hotel so we did not face any travel disruptions and had a relaxing night the day before the operation.  Breakfast was the worse part of our stay.  The venue was very pleasant but the service was appalling.  We had a deadline to be at the hospital, which is 5 minutes away, and the time we had to wait for our cereal choice caused my partner serious stress.  We did complain, and paid no service.  It very much spoilt our impression of our stay.","The breakfast situation, although the food was good.",United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2022,21 July 2022,1,
9.0,"Great location, great room.",Really wonderful staff and comfortable rooms. We were in London during the heatwave so the air-conditioning in the room was very welcome :) The aesthetics of the hotel was 10/10 too as well as the breakfast! Great healthy options.,Navigating the hotel was bit confusing at first - couldn't really find the gym so easily.,Switzerland,Triple Room,3 nights ·,Family,July 2022,21 July 2022,,
9.0,Nice hotel,location Wi-Fi clean,small room,Sudan,Deluxe Double Room,2 nights ·,Solo traveller,July 2022,21 July 2022,,
8.0,"Very clean and handy place with large family room and helpful staff, with just some puzzling issues.","rooms, water taps, shower, breakfasts, location",no towel racks or kettles for tea,Australia,Triple Room,5 nights ·,Family,July 2022,16 July 2022,,
9.0,Excellent. I will stay here again.,"Breakfast options were exceptional... loved the healthy menu options including juices, elixors and smoothies. The restaurant and room decor was soothing to my nervous system. It was quiet and the beds were very comfortable. enjoyed the library as well. Great location, close to Paddington station and Hyde Park.",I stayed for 2 nights in the same room for 2 different rates. I requested to pay the same rate which they would not grant. Water pressure in shower could have been better. Small room especially the bathroom but it was designed well with storage options.,United States,Deluxe Double Room,1 night ·,Solo traveller,July 2022,15 July 2022,,
7.0,Mixed Bag,"Good location, easy to get to Paddington or Edgware Station. Hotel is nicely decorated but gives the impression that it should be more expensive than it is. Good facilities and excellent toiletries, the shower and air con were also powerful. We loved the eco friendly nature!","The staff changed a lot and it we only stayed for one night so it was luck of the draw as to how helpful someone was. The first guy we experienced was about as useful as a chocolate teapot and didnt make eye contact with me once. The others that we encountered were mainly friendly and accompdating.The room was small and although a pretty good price for London, I don't think I could have stayed more than one night in a room so small.Both pillows were rock hard and the bed wasn't the comfiest so didnt get the best night's sleep.",United Kingdom,Deluxe Twin Room,1 night ·,Family,July 2022,15 July 2022,,
7.0,Good but missed my expectations.,"When i arrived, i asked if i could have breakfast the day after and i was reassured that it was possible and that i could have paid in the morning.The morning comes and i was told that breakfast was only for people who purchased with the room in the booking.Not really sure why i was denied breakfast. Good thing that the location of the Hotel is excellent and there are plenty of alternatives around.","I was ""upgraded"" to a double bedroom, which it was double bedroom but had a disabled bathroom, with a shower that had no curtains, a sink placed extremely low. These are all things important for a disabled person or a person constrained in a wheelchair but these become problematic when you are expecting a normal bathroom.",Ireland,Deluxe Single Room,1 night ·,Solo traveller,July 2022,15 July 2022,,
8.0,"Very comfy quiet hotel, excellent location although rooms a bit small.",beds were super comfy and it was very quiet -great for getting rid of our jetlag.Excellent location.,our bedroom and ensuite were very small.no way to make tea or coffee except in the reception - or somewhere to keep food cold,New Zealand,King Room,3 nights ·,Family,July 2022,14 July 2022,,
8.0,Very good,coffee and tea available along with fruitamazing location,disabled room meaning only 1 bedside light and no easy way out the bed for 1 person,United Kingdom,Deluxe Double Room,3 nights ·,Couple,July 2022,13 July 2022,,
9.0,Calm comfortable accommodation in Paddington,Friendly and helpful reception. Patricia in reception and Lupo in restaurant were particularly lovely!,Minor thing but no kettle in room to make tea/coffee.Sewage smell through air con in room on 3rd floor but reception kindly moved us to another room.,Australia,Deluxe Double Room,5 nights ·,Couple,July 2022,13 July 2022,,
9.0,Birthday treat made all the better with a decent hotel room,"Lovely and clean, comfy bed, all products were sustainable, we didn’t have breakfast but it looked clean and was full whenever we passed. Fruit was in the entrance to rooms which was a nice touch. Would definitely recommend",toilet/shower small.. but not huge problem if you are of slimmish build!,United Kingdom,Deluxe Double Room,3 nights ·,Couple,July 2022,12 July 2022,,
9.0,Superb,very nicely finished hotel,no english breakfast tea,United Kingdom,Deluxe Double Room,1 night ·,Couple,July 2022,12 July 2022,,
8.0,Great little hotel,"Clean, friendly, good location","Tea and coffee making facilities absent, tea and coffee downstairs available, but not handy for the room but not hygienic during Covid I’m my opinion",United Kingdom,Deluxe Single Room,1 night ·,Group,July 2022,12 July 2022,,
8.0,"Great location for our stay and comfortable room, nice neighbourhood","Great location, clean and stylish boutique hotel.",Bed was small,Australia,Deluxe Double Room,4 nights ·,Couple,June 2022,11 July 2022,,
9.0,"Beautiful, clean decor. Friendly staff and convenient location.",Friendly staff. Great decor. Comfortable rooms.,No where to hang towels in the bathroom.,United Kingdom,Triple Room,3 nights ·,Family,July 2022,10 July 2022,,
8.0,Very good,"Modern rooms, great location and comfortable beds",Nothing,United Kingdom,King Room,1 night ·,Couple,June 2022,10 July 2022,,
7.0,Good,"Clean, great location and the staff were very helpful and friendly",Room was very small for double,United Kingdom,Deluxe Double Room,1 night ·,Couple,July 2022,10 July 2022,,
8.0,Well priced comfy modern accommodation very close to Paddington Station and Hyde Park,Quick check in with clean quiet rooms. Nice comfy bed with useful minimalist furnishings. Trying to be eco friendly.,Not sure if the AC was on a timer but was a little annoying that it turned off a couple of times on a very warm night. called reception twice and it was resolved. Maybe on a timer to cut down on energy use. Not sure.,United States,Deluxe Double Room,1 night ·,Family,July 2022,10 July 2022,,
9.0,Overall very good relaxing stay,Beautiful hotel with very friendly staff. Very zen and relaxing - perfect first destination to recoup after a long haul flight. Walking distance to cafes and the Paddington Station.,Room was a little on the smaller side but that is to be expected in the area and price bracket.,Australia,Deluxe Double Room,2 nights ·,Couple,July 2022,9 July 2022,,
8.0,the longer I stayed the more I appreciated Inhabit. the location and neighbourhood were great. the lounge and the librar,the location. the amenity.,"the rooms were a little small, and very hot",Australia,Deluxe Single Room,4 nights ·,Group,July 2022,9 July 2022,,
9.0,"Nice and quiet, lovely vibe. Would definitely stay again.",Liked the wellness ethos of the hotel.,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2022,9 July 2022,1,
8.0,Very good,absolutely loved the feel of this whole hotel. it’s designated quiet rooms such as the library were great. i used the sauna daily which was bliss.,"everything was perfect despite the room size. they are tiny tiny. and due to how much you pay for this hotel I was expecting something I could at least lay my suitcase out in. despite the size, the rooms are beautiful and tranquil. at times felt like if I needed anything and asked the staff it was to much of a bother.",United Kingdom,Deluxe Single Room,3 nights ·,Solo traveller,July 2022,9 July 2022,1,
7.0,Good,Great location and nice neutral slightly Scandi-style decor. Nice modern furniture.,The hotel is appears to be made from a number of houses knocked into one; thus inside it is a bit of a rabbit-warren of small passages.The breakfast is a total disaster as the staff are incompetent.,United Kingdom,Deluxe Double Room,1 night ·,Couple,July 2022,7 July 2022,,
7.0,Good,"Some of the receptionist are really nice and helpful.  Like the filtered water,  both still and sparkling are very good. The room is clean.","Room is comparatively smaller than others.  A couple of the receptionists are pretty unhelpful, just sitting there not helping. The sink in the disable access room is too small and a bit low. Alarm went off in the middle of the nights in the two stays.  Hope it gets fixed soon.",Hong Kong (China),Deluxe Double Room,2 nights ·,Couple,July 2022,4 July 2022,,
9.0,Superb,"The staff were incredibly helpful, welcoming and friendly. The room  furnished with nice touches , especially the water carafe and phone charging wires.The bed was super comfortable .","Bathroom very small, bit awkward getting out of shower finding room to dry.Breakfast unavailable on second day due to staffing issues.",United Kingdom,Deluxe Single Room,2 nights ·,Family,July 2022,4 July 2022,,
8.0,Very good,Great location.  Very comfortable room,"Room slightly small and no window but clean, comfy and smart.",United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,June 2022,3 July 2022,,
