score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
7.0,Good,Location and staff were outstanding!,Bathroom was a scene out of the Three Stooges!! Turn on tap in sink and shower would come on!! Turn on shower and sink would come on!!!  Staff made corrections but not my idea of waking up in the morning.,Canada,Compact Double Room,1 night ·,Couple,October 2022,5 October 2022,,
8.0,Very good,"Amazing location in Paddington, helpful staff and delicious breakfast with many options!",,South Africa,Deluxe Single Room,2 nights ·,Solo traveller,September 2022,5 October 2022,,
8.0,Very good,"Beautiful location in Paddington, delicious breakfast with friendly and helpful staff!",,South Africa,Deluxe Single Room,1 night ·,Solo traveller,September 2022,5 October 2022,,
7.0,Good,Location is great!,Room has been in Lower Ground although I specifically asked for a different room when I booked,Austria,Deluxe Double Room,2 nights ·,Couple,September 2022,5 October 2022,,
8.0,recommend!,super friendly stuff and a really cozy bar/restaurant area downstairs. The location is outstanding Room a bit small but that is in downtown London. Very clean and again very friendly people,,Germany,Deluxe Single Room,1 night ·,Solo traveller,October 2022,5 October 2022,,
8.0,"good location, staff could be better for the price you pay",how close it was to the station,"found the service at breakfast slightly dissatisfactory, staff weren’t very attentive and found one of the girls quite rude, didn’t speak a word to us just pointed in the general direction of some tables that where free also the cleaners didn’t replace the toilet roll when it was empty, just placed the empty toilet roll back on to the toilet roll holder.",United Kingdom,Compact Double Room,4 nights ·,Couple,September 2022,3 October 2022,,
8.0,Very good,Fresh fruit in the room was a nice touch. Location next to Paddington Station was great.,"Bar closing at 11pm on a Saturday was not ideal. Room was small for a double, but also not unexpected for London.",United Kingdom,Deluxe Twin Room,1 night ·,Group,October 2022,2 October 2022,,
8.0,Very good,ir had all I needed and was close to Paddington Station,The room was in the basement,Argentina,Deluxe Twin Room,4 nights ·,Group,September 2022,2 October 2022,,
8.0,I’d stay again but ask for a room on the higher floors,"location was great, very clean and the bathroom was a good size","for the money I paid, I didn’t expect a room in the basement!",Malta,Deluxe Single Room,3 nights ·,Solo traveller,October 2022,1 October 2022,1,
7.0,"Small but clean rooms, staff very nice and location excellent",Very clean and tastefully done. If you are travelling with minimal luggage or as one person only it would be very nice.,The size - the room was so small that two people with a suitcase each could barely fit in it. There was a staircase down into the room which made it more awkward. We had to move suitcases around to open the bathroom door or get down the stairs.,Hong Kong (China),Compact Double Room,2 nights ·,Couple,September 2022,1 October 2022,,
9.0,Very happy,"We had a clean, good size twin room on the 5th floor. The bathroom was also modern, big enough. I also like that they provided little soaps, shampoos, toothbrush/paste, hairdryer, coffee and tea, kettle, microwave, TV. Also seems like it has recently been modernised which is an added bonus.","The twin beds were adjacent which I found a bit pointless as you might as well book a standard double room then. I would assume that people booking twin rooms would expect the beds to be further apart with the night stands in between. I booked this room with my mother which is why we went for a twin room, rather than having to share a bed.",United Kingdom,Deluxe Twin Room,2 nights ·,Family,September 2022,1 October 2022,,
8.0,"This hotel is a great place to stay that is convenient, comfortable, well appointed and welcoming","The staff is extremely helpful, courteous and accommodating.  The room is a good size, comfortable, and well appointed.  I was able to order room service from the Indian restaurant that is part of the hotel, even though it was late and probably past when the hotel normally offered this service.   It came quickly and was delicious, and a good value.  I also really like how close the hotel is to Paddington.  It is so easy to take the Heathrow Express to Paddington and then walk 5-10 minutes to the hotel through a neighborhood that feels very safe.","I like to have a quiet room, especially because I stay at this hotel because it is close to Paddington/Heathrow Express and I normally have to get up around 5:30 to catch my flight home.  On this occasion, there were people on the floor above me stomping around until after 2 a.m. and it was hard to sleep even with my earplugs.",United States,Deluxe Double Room,1 night ·,Solo traveller,September 2022,29 September 2022,,
9.0,Lovely hotel close to Paddington,The staff were amazing! I left a wallet there and they mailed it to me. Very courteous. Lovely ambiance.,Nothing,United States,Deluxe Double Room,2 nights ·,Group,September 2022,28 September 2022,,
7.0,good for a short stay in central London,location  close to Paddington station for Heathrow express - on site restaurant,really small room - steps in corridor and immediately inside room,New Zealand,Deluxe Double Room,2 nights ·,Solo traveller,September 2022,28 September 2022,,
8.0,Very good,"- Lcation is great, less than 5 minutes to Paddington station- Bathroom is very clean (no toothbrush set was restocked at my last day so I had to struggle to squeeze the leftover toothpaste from previous day)- Room is equipped with U.S. power outlet so I didn't have to use adapter, happy about it!- Carpet looks dirty, be sure to bring a pair of flipflops so you don't have to walk on the carpet in barefoot after shower- Breakfast is OK, no much variety. Tea is poorly made, it's just a pot with two or three tea bags and no flavor. If you're someone particular about foods you don't want to eat breakfast there every day. I had enough with the same foods after two mornings",,United States,Deluxe Single Room,4 nights ·,Solo traveller,September 2022,28 September 2022,,
7.0,It was very goo,The staff were outstanding,Not quite 5* furnishing and decor,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,September 2022,26 September 2022,,
9.0,Kazi and his team are the best.,Classic old building close to Paddington; modern rooms.,,United States,Compact Double Room,1 night ·,Couple,September 2022,25 September 2022,,
8.0,good for one night but wouldn’t be happy with room for longer.,location was perfect. nice and clean,"our room was in the basement and round so many corners was awkward with luggage. no window, just a fake window with light",United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,24 September 2022,,
7.0,"we had a nice overnight stay, however the breakfast was cold. was very disappointing.","the location is good.room was clean and tidy, and quiet.",nothing really.it was fine.,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,24 September 2022,,
9.0,answered perfectly to our needs!,"Very good location, clean room, calm atmosphere, friendly and nice staff. We were very happy to choose this hotel.",,Finland,Deluxe Double Room,4 nights ·,Family,September 2022,23 September 2022,,
8.0,"Very convenient accommodation for single travelers, close to Paddington train station.",Very well located. Clean. Very friendly staff. Good Indian restaurant.,Small bedrooms but very confortable with nice bathroom. Be careful of bedrooms without window.,Switzerland,Deluxe Single Room,2 nights ·,Solo traveller,September 2022,23 September 2022,,
8.0,Very good,The location is perfect and everyone in that area is so friendly. Hyde Park was just a quick stroll. Staff were friendly and very helpful.,Room was so tiny! We had to store our luggage in the bathroom. But neat and clean.,Canada,Deluxe Twin Room,2 nights ·,Couple,August 2022,22 September 2022,,
8.0,Great location to stay within short walking distance to Paddington Station,"Excellent location right near Paddington Station. Very convenient with Heathrow Express and several London Underground lines to connect to including the new Elizabeth Line. Highly recommended this place for the convenience of taking the trains. Short walk away from Little Venice which was a nice neighbourhood to explore on foot. Hyde Park, Regent’s Park and Primrose Hill also nearby which is worth checking out too. Room has a very clean washroom with a nice rain shower head.",Room interior looks a bit dated. Only one small elevator so only a few people can fit at once.,Canada,Deluxe Single Room,3 nights ·,Solo traveller,September 2022,22 September 2022,,
8.0,A great place very close to Paddington Station,The staff were exceptional in all parts of the hotel.  I booked at short notice due to transport issues in London and all the staff went above and beyond,The room was a bit small,United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,September 2022,21 September 2022,,
8.0,Excellent value for money,"This hotel is very conveniently situated less than five minutes walk from Paddington Station so if you're arriving at Heathrow, it is perfect as both the Heathrow Express and the London Underground 's new Elizabeth Line terminate at Paddington.Although my room was small it was extremely quiet, clean with a new, very modern bathroom. superb bed and air-conditioning.  The only negative thing was the breakfast which wasn't up to the standard of the rest of the hotel but there are plenty of cafes nearby.",the breakfast,Australia,Compact Double Room,2 nights ·,Solo traveller,August 2022,21 September 2022,1,
8.0,very good,"The location of the hotel, its food as well as the staff are commendable.","The room is too small, not enough storage space",Sri Lanka,Deluxe Single Room,3 nights ·,Solo traveller,September 2022,21 September 2022,,
7.0,Good,Excellent location.  Compact room.,Staff generally friendly but relatively laid back.  Restaurant hygiene could improve by clearing and cleaning  the whole table (including wiping table mats and replacing all cutlery) each time guests have finished breakfast.,Hong Kong (China),Club Twin Room,7 nights ·,Couple,September 2022,20 September 2022,,
9.0,"Beautiful with a very welcoming staff, however we chose the room based on it being soundproof, and it was quite noisy.","Breakfast was very nice, the beds were comfortable and the bathroom felt very luxurious.",the room was advertised as soundproof but very clearly was not. At all.,United States,Deluxe Double Room,2 nights ·,Couple,July 2022,14 September 2022,,
9.0,really nice place in Paddington,clean and comfortable lovely restaurant great location,very small room and corridor!,United Kingdom,Club Twin Room,1 night ·,Family,August 2022,13 September 2022,,
9.0,Superb,The hotel was lovely and staff very friendly. The room was very clean. Great location to Paddington Station.,Extremely small room. Green Light on ceiling kept the room bright all night so I had very little sleep prior to long haul flight home to Australia.,Australia,Deluxe Single Room,1 night ·,Solo traveller,August 2022,13 September 2022,,
8.0,Really happy,Clean,,Australia,Deluxe Single Room,1 night ·,Solo traveller,September 2022,13 September 2022,,
9.0,"Quiet boutique hotel, centrally located, Katz and Ruben took care of us.","“Compact room” is 10 meters x 10 meters, about the size of a small jail cell that you see on TV. Be sure to ask for a “Club Room”",five minutes from Paddington station which is 15 minutes from Heathrowthe Staff were friendly and helpful,Canada,Compact Double Room,7 nights ·,Couple,September 2022,12 September 2022,,
8.0,Very good,The location to Paddington and Lancaster Gate tubes and railway stations was great. Whilst my single room was very small (this was the reason for my comment in Facilities) it was suitable for everything except opening my case which was difficult (it was a large case because I was away for 10 weeks and needed both summer and winter clothes),I needed a little more floor space to open and use my suitcase.,Australia,Deluxe Single Room,5 nights ·,Solo traveller,September 2022,12 September 2022,1,
8.0,It's a nice place to set up shop while you enjoy London. Access to Paddington is really nice.,"Initially, there was a slight misunderstanding with my booking that was no one's fault really. The staff rectified the error and offered me an upgrade for the inconvenience. I found this very considerate and gracious. You can't beat the location for London in my opinion. You are steps from Paddington and can quickly get to most famous places in London in 25 minutes or less. It is extremely convenient if you are willing to use the underground.","There was a bit of room noise due to ongoing construction. It's not a complaint just an observation. Not much the hotel could do anything about. More importantly, its not permanent. We did have some noisy neighbors but it was the weekend. We didn't get the staff involved so again, not a knock on the hotel.",Germany,Compact Double Room,2 nights ·,Family,September 2022,10 September 2022,1,
8.0,Very good,Location,Rooms very small,Bahrain,Deluxe Twin Room,3 nights ·,Couple,September 2022,9 September 2022,,
9.0,Superb,Very good rooms.,,United Kingdom,Compact Double Room,1 night ·,Couple,August 2022,6 September 2022,,
8.0,"Pleasant stay in great location, particularly convenient for Paddington Station.","Great location, room was small but adequate.",Only downside was breakfast as food wasn’t hot.,Australia,Deluxe Single Room,3 nights ·,Solo traveller,August 2022,5 September 2022,,
7.0,"Great staff , lovely location .but our room was noisy with aweful outlook",the location &amp; friendly helpful staff,"We booked what was advertised as a deluxe double, with daily newspaper ( no newspaper) our room was in the basement, next to noisy vents. the outlook was less than appealing.",United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,September 2022,4 September 2022,1,
8.0,"Courteous and friendly staff, clean room in an excellent location.",location,tiny room,United Kingdom,Compact Double Room,2 nights ·,Couple,September 2022,4 September 2022,,
8.0,Very good,"Great location between Paddington station and Lancaster Gate station a few steps away from the hotel.Loved my stay. The single room is extremely tiny, looks like a cabin in a boat, but it has all the comforts. The cleaners are regularly cleaning the rooms every single day, even if you wake up late they'd come in the afternoon.The staff at the reception and at the restaurant is great and very friendly!",The only member of the staff I have a complain about is the lady working at the SPA reception. She is quite rude and passive aggressive and abuses her position. She is sitting there just to be paid at the end of the month. Does not care at all about the clients and has absolutely no clue of what customers' service even means and someone that cares about guests' satisfaction like the other members of the staff should indeed consider taking her place.,United Kingdom,Deluxe Single Room,6 nights ·,Solo traveller,August 2022,4 September 2022,,
8.0,"Good staff, well-managed, in a pleasant hotel. Lovely location.","We liked the location of this hotel and the fact we could park our car outside, in what is effectively a private access road. We received a pleasant greeting from the doorman, and every member of staff we spoke to was polite and very helpful. Our room contained everything we needed for our stay, from toiletries to ironing board. The fittings in the shower room were very good quality and everything worked perfectly. We were impressed with the technology in the room, lighting, etc.  There seems to be a real sense of pride in the running of this hotel, even the leaves outside the entrance were being swept and tidied away. We will recommend to our friends.","From the corridor, the door to our room opened on to a short, steep staircase. The room itself was well furnished but rather small. For another visit, We would probably pay for an upgrade to a larger room.",United Kingdom,Compact Double Room,2 nights ·,Couple,September 2022,3 September 2022,,
8.0,"Happy, would book again",Great little hotel with helpful staff,Spa was closed,United Kingdom,Deluxe Double Room,2 nights ·,Couple,September 2022,2 September 2022,,
8.0,"Central, modern, clean &amp; good breakfast.",The location was next to bus and metro/rail access. The staff were polite. Parking outside the hotel and the breakfast was good. Shower was clean and powerful.,Room was small.,United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,August 2022,2 September 2022,,
9.0,Superb,It was very conveniently located. The room was compact but very comfortable. All the staff were friendly.,,Japan,Deluxe Single Room,3 nights ·,Solo traveller,August 2022,2 September 2022,,
8.0,Hotel staff served with a smile...good value for money with great location,Small boutique hotel with excellent customer service.  All the staff at the front desk and concierge and porter service were helpful and approachable.,Lacking good to have like hair dryer,Singapore,Deluxe Twin Room,1 night ·,Group,September 2022,2 September 2022,,
8.0,Very good,,Ther is no TV network that can be  watched,Egypt,Deluxe Double Room,7 nights ·,Couple,August 2022,1 September 2022,1,
8.0,Very good,The restaurant,Size of the bedroom,South Africa,Deluxe Double Room,3 nights ·,Family,August 2022,29 August 2022,,
7.0,"friendly reception team, lovely room, good location.",room was spotlessly clean. location good.,breakfast could have been better.,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,29 August 2022,,
8.0,Okay hotel,"It was located in a very good position , very close to the underground, the toilet was nice and clean","It was very dusty , the size if the room was tiny, floors very creaky which was quite annoying. In addition the fridge makes such a loud noise which is  annoying when we trying to sleep",United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,August 2022,27 August 2022,,
9.0,Superb,everything apart from the towels. very small and rough. the s,towels,United Kingdom,Compact Double Room,1 night ·,Couple,August 2022,24 August 2022,,
8.0,very pleasant accommodation with lovely staff.,well presented. clean. nice decor.,n/a,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,August 2022,24 August 2022,,
8.0,A lovely and perfect couple nights sleep,I thought breakfast was the only area that needed to be improved on other than that the room was incredible,"The breakfast needs more options on food in the morning, and also some more drinks available with if coffee machine stuff like that etc",United Kingdom,Deluxe Twin Room,2 nights ·,Group,August 2022,23 August 2022,,
8.0,Very good,"location, friendly staff,",small room,Canada,Deluxe Twin Room,7 nights ·,Group,August 2022,22 August 2022,1,
7.0,Nice but expensive and breakfast should be included,the location is perfect for exploring,room was right next to a lift which wasn’t noisy but people would stand outside the door talking and woke us at 3am,United Kingdom,Deluxe Twin Room,1 night ·,Group,August 2022,22 August 2022,1,
9.0,Perfect one night stay in a single room,"My room was clean, modern and good value for money",nothing really,United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,August 2022,18 August 2022,,
9.0,Perfect location and very comfortable,location is perfect for Paddington trains.Room was small but very comfortable.,,United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,August 2022,18 August 2022,,
8.0,A nice hotel minutes from Paddington station.,"A nice hotel, great location. Clean and comfortable. Staff were very good. Delicious Indian food in restaurant.",Very small room and corridor - you wouldn't want to be a big person staying here!Shower and lights in room very confusing!,United Kingdom,Deluxe Single Room,1 night ·,Family,August 2022,17 August 2022,,
9.0,"very comfortable stay, a great base for our weekend in London.","Great location, room was comfortable, clean and spacious with a great shower. Staff were friendly and helpful. we will definitely stay again.","Having a basement room, we didn’t realise on the first night that a bright light would come on at 7am to simulate sunlight. some warning and/or an ability to control this would be welcome.  Also the green light by the door illuminated the room at night and it was obvious previous guests had stuck plasters etc over to try to reduce the light, I’ve never had that in any other hotel so hope it’s something that could be changed.",United Kingdom,Deluxe Double Room,3 nights ·,Couple,August 2022,15 August 2022,,
8.0,great hotel in a beautiful area easy to reach the station and canal,great location clean and comfy rooms with all the mod cons would stay again,a little disorganised and the later you go to breakfast the less choice there is,United Kingdom,Compact Double Room,2 nights ·,Couple,August 2022,15 August 2022,,
7.0,Good,"staff were nice , location was very good , beds were comfortable.","only one small elevator, rooms were quite small",Saudi Arabia,Compact Double Room,3 nights ·,Group,August 2022,12 August 2022,,
9.0,Superb,Staff and location was good,,Australia,Deluxe Double Room,2 nights ·,Couple,July 2022,11 August 2022,,
7.0,Good,"5th floor room was nice and clean. Very central, receptionist super helpful",,United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,August 2022,10 August 2022,,
9.0,Superb,"I liked the location. Paddington is not very noisy and when you're out all day and want to come back to the hotel for some good peaceful sleep, this is the perfect place!",I thought the room would be bigger.,Germany,Deluxe Double Room,7 nights ·,Couple,August 2022,8 August 2022,1,
8.0,Very good,The service. The cookies in the room. Front desk staff were helpful too.,"The croissant was fresh but in general, the breakfast could have been better. The scrambled eggs and mushrooms could have used more salt.",Nigeria,Compact Double Room,1 night ·,Couple,August 2022,5 August 2022,,
8.0,Very good,"Decor was very good and the hotel was clean, room well presented",the pillows are too hard and poor quality,Ireland,Deluxe Double Room,1 night ·,Solo traveller,August 2022,5 August 2022,,
9.0,Comfortable. Glad to be able to make a drink in my room - I had not been able to do so when away.,The location of the hotel was the main reason for booking as it was close to the railway station I needed to use.The room was small but adequate for a 1 night stay.I did not have breakfast as I had another train to catch.,Although there was a lift when I walked from the lift to my room there were steps down which I needed to carry my suitcase. It would have been easier if it was all one level.,United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,August 2022,5 August 2022,,
8.0,great location and nicely appointed rooms - staff were very welcoming,the room was very nice and great shower.,noise from other rooms,Australia,Deluxe Double Room,2 nights ·,Couple,August 2022,5 August 2022,,
9.0,"very well worth it, would go back.","location to Paddington station was excellent, the decor and cleanliness was very good",the single room was quite small.,United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,August 2022,5 August 2022,,
8.0,"A comfortable, clean hotel ideally located for a short stay",we have used the chilworth before. it is very convenient for our purposes being near Paddington station. the rooms are good but not huge and perfectly adequate for a short stay,our room was in the basement and a bit dark but this did not really matter for a short stay,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,4 August 2022,,
8.0,I wuold recomend this hotel,Perfect location near the Tube station and nice breakfast,Camera molto piccola. Mancanza di caffè espresso/ cappuccino a colazione.,Italy,Compact Double Room,6 nights ·,Couple,July 2022,4 August 2022,,
9.0,Superb,"excellent location, nice staff, good sized room.  Everything we needed for a short stay",,United Kingdom,Deluxe Twin Room,2 nights ·,Group,July 2022,4 August 2022,,
8.0,Fabulous,Location was spot on and room very comfy. Nice staff,We had booked the spa but were told it was only for 30 mins. Nobody wants to get their hair wet for the sake of 30 mins so that was disappointing,United Kingdom,Deluxe Twin Room,2 nights ·,Family,May 2022,3 August 2022,1,
9.0,Nice stay.,Location is nice. Near the tube station and trains also.,There is some dust in the room. But just some of the it. Other things is perfect.,United Kingdom,Compact Double Room,1 night ·,Group,August 2022,3 August 2022,,
8.0,excellent location,excellent location,room is very small / narrow hallway and small lift.,United States,Deluxe Double Room,10 nights ·,Couple,July 2022,2 August 2022,,
9.0,Superb,Great location. New and clean. Has a lift.,Toilet roll access was difficult. Instructions on safe incorrect.,Australia,Deluxe Single Room,2 nights ·,Solo traveller,August 2022,2 August 2022,,
7.0,Overall nice but dirty window,"The hotel is in a good area, the staff were really polite and brought towels up to our room super quick. The shower is also huge! X","The staff kindly upgraded my room, but I’m not sure if it was an upgrade because we were located in the ‘B’ ground so the view was terrible. The window was also filthy and we had to keep the curtains shut- mould and dew all over the window so the room had no ventilation because I did not want to touch it.",United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,2 August 2022,,
8.0,lovely hotel- will return,"The staff at reception were so friendly and helpful when we arrived. The hotel is a boutique style and is very modern inside. The room was fairly small but perfectly fine for the two of us (we had a club twin). There was underfloor heating in the bathroom, air con, lots of USB ports for charging, a good hair dryer (always a disappointment in hotels so that was a nice surprise). The tube station was a few minutes walk away which was very handy, including the entrance to the Elizabeth line which takes you straight to Oxford Circus. We come to London often but never drive, however, due to rail strikes this was necessary. The hotel was extremely easy to find and we were able to park our car outside. It was a very pleasurable visit and we will definitely stay again.","The only thing that could be improved was the breakfast arrangement. There was a reasonable selection of food and the sausages/bacon etc was nice but it was a buffet style and it was cold. They kept running out of food and nobody noticed or checked. A few people asked for things which ultimately were replenished by the waitress who was clearly trying her best, but in the process there was a lot of shouting to and from the kitchen and it all just seems a bit chaotic and not relaxing in the slightest.  Generally the breakfast was Ok but compared to the rest of the hotel and the standard of service, it was lacking.",United Kingdom,Club Twin Room,1 night ·,Family,August 2022,2 August 2022,,
