score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
9.0,apart from Housekeeping very Agreeable,convenient location. Super Breakfast,Housekeeping. Always came to clean in the afternoon!!!!,Switzerland,Executive Double Room,6 nights ·,Couple,September 2022,27 September 2022,,
8.0,Very good,"Winter Garden, Spa and massage was excellent. Room was spacious. Hotel car was fantastic and hotel location is very good.","Bed should be more comfortable, pillows were average. Food was very average for a hotel of this caliber. Menu options limited, room service orders could be taken better.",Spain,Deluxe Double Room,4 nights ·,Solo traveller,September 2022,20 September 2022,,
8.0,It was just great!,The location and quality of the hotel.,Cleanliness - that was a main issue,Canada,Double Room,7 nights ·,Solo traveller,September 2022,19 September 2022,,
8.0,Great central London hotel with good facilities and service,I love the location although slightly off-centre; it is easy to get anywhere in central London by tube. Staff at the hotel are very helpful and the facilities are good. We had a large room with sitting area and the bathroom was also spacious. Decor is comfortable although not refurbished recently. The bed was super comfortable.,Their systems seem a bit clunky which delayed our check-in. The quality of the teabags in the room was not good.,United Kingdom,Landmark Junior Suite,2 nights ·,Couple,September 2022,19 September 2022,,
10,really enjoyable,"beautiful, clean and great service.m and room sizes are large!",nothing.,Australia,Family Room (2 Adults + 2 Children),4 nights ·,Family,September 2022,17 September 2022,,
10,"wonderful place, frightfully expensive",wonderful facilities,very expensive. tv channels too complicated,Australia,Family Room (2 Adults + 2 Children),2 nights ·,Family,September 2022,14 September 2022,,
10,An amazing anniversary trip.,The Atrium.,Parking access.,United Kingdom,Double Room,1 night ·,Couple,September 2022,11 September 2022,,
10,Great birthday night away,"Lovely building, great staff",Nothing,United Kingdom,Double Room,1 night ·,Couple,September 2022,10 September 2022,,
10,Excellent,everything,Really nice,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,8 September 2022,,
8.0,It could have been better,"excellent location, very nice hotel and friendly staff","Many weddings and the noises was shaking the floor and my bed because my room was in the first floor, they didn’t let me know about it especially that I have upgraded my room when I checked in, so they should told me about the disadvantages of having this room in the first floor especially that I was staying there for work!!",Saudi Arabia,Executive Double Room,8 nights ·,Solo traveller,September 2022,8 September 2022,,
10,Exceptional,Perfect location . Staff always here for taking care  Room in perfect condition . Highly recommended,,Thailand,Executive Double Room,3 nights ·,Couple,August 2022,8 September 2022,,
10,Exceptional,"Location was great. The Winter Garden is fabulous. The food and drinks were top quality. Room was large, extremely clean and very elegant. The whole experience felt exquisite.",,Romania,Double Room,1 night ·,Couple,September 2022,7 September 2022,,
8.0,Good experience,Breakfast was great,,Nigeria,Deluxe Double Room,6 nights ·,Solo traveller,August 2022,6 September 2022,,
10,excellent - thank you!,facilities and staff were excellent. we stayed at the hotel on our wedding day and they gave us a complimentary upgrade which was excellent. thank you!,,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,5 September 2022,,
9.0,awesome,i love everything about this Hotel . location was great and it’s opposite the station .Staff were super nice and helpful especially Olga. I’ll definitely be visiting again soon .,Balcony doors can’t be opened . they explained it’s for security reasons so I don understand,Nigeria,Executive Double Room,5 nights ·,Couple,September 2022,4 September 2022,1,
9.0,birthday celebration,fantastic stay celebrating my partners birthday. We stayed in a corner suite which was lovely. Staff were amazing and really made the effort to make our stay special. Had dinner in the winter garden and the food was amazing!,,United Kingdom,Landmark Junior Suite,1 night ·,Couple,June 2022,4 September 2022,,
10,Exceptional,"The hotel was fabulous! The staff were amazing, and everything was to standard. I have stayed here before and will continue to come back.",,United Kingdom,Executive Double Room,2 nights ·,Couple,September 2022,3 September 2022,,
10,Beautiful hotel. Old world charm but modern. Awesome location.,Room was wonderful!,,United States,Deluxe Suite,3 nights ·,Family,July 2022,1 September 2022,,
10,highly recommended,location cleanliness staffeverything,nothing,United Arab Emirates,Family Room (2 Adults + 2 Children),10 nights ·,Family,August 2022,30 August 2022,,
10,Exceptional,"A great location. Staff were very friendly, room was very comfortable, the best part of the whole hotel is the winter garden what a beautiful place to stay and I bet to work. We would definitely come to stay again.",Nothing!,United Kingdom,Executive Double Room,2 nights ·,Couple,August 2022,28 August 2022,,
10,Perfect!,The Landmark is an exceptional property. Old world but with all the modern conveniences. The A/C was fantastic. The breakfast was excellent. The staff was very attentive.,Nothing,United States,Family Room (2 Adults + 2 Children),5 nights ·,Family,August 2022,26 August 2022,,
9.0,Lovely hotel close to Lords with great bar &amp; restaurants.,Beautiful building.Staff very professional yet friendly.Easy walking distance to Lords Cricket Ground.Mirror bar fix fab cocktails,Bars seemed to only be open in the evening.,United Kingdom,Executive Double Room,3 nights ·,Couple,August 2022,24 August 2022,,
10,several of our group stayed here for our daughter’s wedding including the bride - nothing was too much trouble,amazing hotel - one of the best,nothing,United Kingdom,Double Room,2 nights ·,Couple,August 2022,24 August 2022,,
10,several of our group stayed here including the bride - nothing was too much trouble,amazing hotel and great location,nothing,United Kingdom,Executive Double Room,2 nights ·,Group,August 2022,24 August 2022,,
9.0,Superb,the hotel was amazing.,"staff were OK, breakfast was not value for money.",United Kingdom,Landmark Junior Suite,2 nights ·,Couple,August 2022,21 August 2022,,
10,"big comfy bed, quiet room",convenient to Lords,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,19 August 2022,,
9.0,Superb,courtyard is amazing. rooms were big and comfortable,bed was a bit hard,Spain,Deluxe Double Room,2 nights ·,Couple,August 2022,18 August 2022,,
10,Excellent!,"Rooms were amazing, comfy and clean. Would recommend",,United Kingdom,Double Room,3 nights ·,Family,July 2022,18 August 2022,,
9.0,stunning hotel.,beautiful,price of breakfast,United Kingdom,Double Room,1 night ·,Family,August 2022,16 August 2022,,
10,Great place to stay,Five star service,Nothing,United Kingdom,Deluxe Double Room,3 nights ·,Couple,August 2022,8 August 2022,,
9.0,Good choice for families in London,"Large rooms &amp; bathrooms (has shattaf), good location and nice service.",Very expensive (it doesn’t worth more that £400/night) and really small gym,Saudi Arabia,Deluxe Double Room,6 nights ·,Family,August 2022,8 August 2022,,
10,excellent property fantastic staff,"everything atrium room service, room breakfast",nothing,United Kingdom,Executive Double Room,2 nights ·,Couple,August 2022,7 August 2022,,
10,Exceptional,Everything,Being asked for my passport at check in - very unusual for the UK,United Kingdom,Double Room,1 night ·,Couple,August 2022,5 August 2022,,
8.0,relaxing in style at the landmark. excellent service. would def stay again but would need to ask for a coffee machine!,location and ambience and the mirror bar-a great find.,no coffee machine in room…only a kettle and instant coffee:(,United Kingdom,Double Room,1 night ·,Couple,July 2022,1 August 2022,,
9.0,A lovely hotel in a fabulous location,"Amazing location, beautiful big room very quiet!",Lift could be slow,United Arab Emirates,Family Room (2 Adults + 2 Children),6 nights ·,Family,July 2022,31 July 2022,,
8.0,"great stay stunning decor , staff were exceptional! bed very hard not as comfortable as i would have hoped for .",staff !  the glassed atrium,bed,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2022,30 July 2022,,
10,Great place,Location,Closed windows,Saudi Arabia,Landmark Junior Suite,7 nights ·,Family,July 2022,26 July 2022,1,
10,staff were excellent,very smart,nothing,United Kingdom,Deluxe Double Room,1 night ·,Couple,July 2022,22 July 2022,,
10,Exceptional,Everything,-,United Arab Emirates,Double Room,6 nights ·,Couple,May 2022,19 July 2022,,
9.0,Superb,Hotel team was coordinated and took care of us well. Hotel is beautiful and well located.,"We booked to stay twice in a week at the hotel. Was a tad bit disappointed with the size of the room the second time we stayed and as that was more expensive than our first booking, we felt not the best value for money.",India,Deluxe Double Room,1 night ·,Couple,July 2022,11 July 2022,1,
10,thank you for reception staff,"the friendly staff, the room , and quick service",they did not offer me the family room that i used to stay on,Qatar,Family Room (2 Adults + 2 Children),2 nights ·,Family,June 2022,10 July 2022,,
8.0,Lovely indulgent stay bed and pillows very uncomfortable,Beautiful winter garden,Bed was so hard and uncomfortable Pillows were also hard and uncomfortableWe really didn’t sleep well,United Kingdom,Executive Double Room,1 night ·,Couple,July 2022,10 July 2022,,
10,amazing honeymoon experience.,"came here for our honeymoon and the staff and facilities were amazing. fantastic room, got a lovely surprise upgrade and some chocolates and strawberries. very happy couple.",,United Kingdom,Deluxe Double Room,1 night ·,Couple,June 2022,10 July 2022,,
10,Exceptional,Staff would always try to accommodate any requests. Food and drinks were great. Hotel is lovely.,Some of the gym equipment needs updating.,United Kingdom,Executive Double Room,1 night ·,Couple,July 2022,10 July 2022,,
10,Exceptional,everything,only one restaurant,Qatar,Executive Double Room,4 nights ·,Family,July 2022,7 July 2022,,
10,Stayed for a Long Weekend break and cant wait to go back!.,"An outstanding Hotel in all aspects.Great facilities Centre, superb staff, wonderful food in an immaculate setting.Would thoroughly recommend this Hotel, looking forward to going back soon",Absolutely nothing to dislike,United Kingdom,Executive Double Room,2 nights ·,Couple,July 2022,6 July 2022,,
8.0,Hope to return one day soon.,Lovely hotel in a brilliant location.  The breakfast restaurant team were brilliant as was the array of food available for breakfast.,"Nothing, an extremely lovely place to stay.",United Kingdom,Deluxe Double Room,1 night ·,Couple,July 2022,6 July 2022,,
10,Beautiful Hotel For A Wedding,"Stayed here for our wedding and the staff were so helpful! We constantly was ringing for glasses, mugs ect and they was more than happy to help. They brought up our flowers and helped our MUA with all her kit. Beautiful hotel and room",We had a problem with a TV in our suite not working and had to move rooms- the engineer man was very helpful though!,United Kingdom,Landmark Junior Suite,2 nights ·,Couple,June 2022,4 July 2022,1,
10,Was an excellent stay,the room was amazing! as was the main entrance with the palm tress,,United Kingdom,Deluxe Double Room,1 night ·,Couple,June 2022,2 July 2022,,
10,very relaxing &amp; a lovely treat,calm &amp; luxurious,,United Kingdom,Double Room,3 nights ·,Couple,May 2022,2 July 2022,,
10,Love the Landmark.,"The room, breakfast and spa/gym etc were all excellent.",The wifi in the business centre was so unstable that it was easier to work in my room.,United Kingdom,Landmark Junior Suite,2 nights ·,Couple,June 2022,1 July 2022,,
10,Perfect in every way,Excellent in all respects,Not a thing wrong,Australia,Deluxe Double Room,9 nights ·,Solo traveller,June 2022,1 July 2022,,
10,Exceptional,"Simply everything, starting from checking in smoothly to the last minute of our 6-day stay. Many thanks to the receptionists, concierge team, security team and the manager Andrew for his lovely welcoming note and hospitality. If you are looking for a luxurious stay and a hotel that implements high standards of customer experience concepts, the landmark London is the right and best choice. I also recommend having an afternoon tea with the cream burlee sweet and listening to the lobby piano, I believe it is the best in London.",Nothing,Saudi Arabia,Double Room,6 nights ·,Couple,June 2022,1 July 2022,,
10,one of londond best hotels,every was amazing,the price,Qatar,Double Room,6 nights ·,Solo traveller,June 2022,30 June 2022,,
10,An excellent stay - thank you!,The settingThe bedroom was exceptionally comfortable,Nothing,United Kingdom,Deluxe Double Room,1 night ·,Family,June 2022,30 June 2022,,
9.0,Superb,Location,,United States,Executive Double Room,9 nights ·,Solo traveller,June 2022,28 June 2022,,
9.0,Superb,Rey friendly staff,,United States,Executive Double Room,3 nights ·,Family,May 2022,27 June 2022,,
8.0,Very good,most things,receptionist training,United Kingdom,Suite,2 nights ·,Solo traveller,June 2022,27 June 2022,,
10,Amazing birthday,Beautiful room and amazing food,Could add a nespresso machine,United Kingdom,Executive Double Room,1 night ·,Couple,June 2022,26 June 2022,,
10,"Wonderful hotel, highly recommended and cant wait to stay again",Beautiful suite and exceptional staff without exception,nothing - all perfect,United Kingdom,Deluxe Double Room,2 nights ·,Couple,May 2022,24 June 2022,,
8.0,Loved the hotel and location,Beautiful hotel and room,Housekeeping coming to our room at 8 in the morning and asking what time we were leaving! (check out was12),United Kingdom,Executive Double Room,2 nights ·,Couple,June 2022,24 June 2022,,
8.0,Very good,Loction,,United Arab Emirates,Family Room (2 Adults + 2 Children),8 nights ·,Couple,June 2022,23 June 2022,,
9.0,Elegant,Very spacious and it felt elegant.,"I went to restaurant at 1.40pm to be told by the lady at podium that lunch had finished and I had to go up on mezzanine for sandwiches. I saw others enter after this. Iater I asked at reception what time lunch finishes in main restaurant, to be told 2pm. Wardrobe was in the bathroom.",United Kingdom,Deluxe Suite,3 nights ·,Couple,June 2022,16 June 2022,,
10,Very pleasant stay. Would definitely stay again,Everything was great. Staff were amazing,The bed could have been better. We found it a little hard to sleep on.,United Kingdom,Double Room,1 night ·,Couple,June 2022,14 June 2022,,
10,Amazing weekend in a wonderful hotel,"amazing hotel, super friendly and helpful staff.",The location is great and the service is excellent.,Netherlands,Family Room (2 Adults + 2 Children),2 nights ·,Family,June 2022,13 June 2022,,
10,Exceptional,Best place I have ever stayed!,,United Kingdom,Double Room,1 night ·,Family,June 2022,13 June 2022,,
10,"I have stayed at the 4 Seasons, The Londoner, St Pancreas, the Langham and The Landmark is my first choice of stay when",all the the little detailed attention to our stay which was absolutely fantastic,,United Kingdom,Suite,3 nights ·,Couple,June 2022,13 June 2022,,
9.0,Superb,Location and staff was outstanding. Winter garden was a lovely place to eat. Spa was lovely. Room was large and well appointed. Breakfast was great but much better if in the hotel rate as it was EXPENSIVE of not included.,Restaurant had nice food but it felt a little over priced for what it was. Not the kind of magical creations that you would expect for a £180 dinner.,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,June 2022,12 June 2022,,
10,Amazing,Loved the doormen,The price,United Kingdom,Double Room,1 night ·,Couple,May 2022,12 June 2022,,
9.0,loved it!,"cleanliness, quality of finishes, beautiful central winter garden area , location, friendliness of staff,",nothing,South Africa,Deluxe Double Room,2 nights ·,Couple,June 2022,8 June 2022,,
10,Exceptional,Everything was just great and excellent and the staff were so professional and friendly well done Landmark management 👏🏼,The only thing that i could mention is the plates and cutlery had an eggy smell i think from the dishwasher. I hope that can be resolved soon.,United Arab Emirates,Family Room (2 Adults + 2 Children),3 nights ·,Family,June 2022,8 June 2022,,
9.0,Perfect location. Excellent stay.,apparently this was one of my step daughter's dream stays so we made it happen. Hotel was excellent especially breakfast. All staff were very friendly.,,Qatar,Deluxe Double Room,2 nights ·,Family,June 2022,7 June 2022,,
10,Perfect in every way for our Wedding stay!,"The Landmark is absolutely fantastic. The staff are impeccable, friendly and super helpful in every way. We stayed as we were getting married at The Old Marylebone Town Hall, opposite, and the staff made our stay extra special. I have stayed in many 5 * hotels around the world and the Landmark has to be up there!",,United Kingdom,Landmark Junior Suite,2 nights ·,Couple,June 2022,7 June 2022,,
10,lovely hotel all staff exemplary,classic and central enough to walk,nothing,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Group,May 2022,6 June 2022,,
9.0,A magical stay,"This special occasion stay met nearly all our expectations. I was accompanying my parents, who were celebrating my mother's 80th birthday, their 60th wedding anniversary and visiting family in London. My thanks to Hiu &amp; her manager for making the effort to changing our rooms to a higher floor, and for the lovely card &amp; little treat for the special occasion. A shoutout to Nikka, Ashley, Vadim, Maria, &amp; Ainar who always greeted us with genuine smiles and truly made us feel at home. The setting was lovely and we appreciated the spacious rooms and bathrooms (the family room was perfect for an elderly couple during a five-night stay, and my double room overlooking Marylebone Station was just lovely). The hotel was an oasis of tranquility after a day out and about and all the food we ate there was tasty and convenient (breakfast in the atrium, light lunches on the mezzanine terrace, and a late dinner in the bar).  Pricey, of course, but we left satisfied at this special treat.","None of these points were show-stoppers but addressing them would make any stay here a perfect experience: there aren't any outlets next to the beds; there is only instant coffee &amp; a tea kettle, whereas other hotels of this caliber usually offer nespresso machines, too; the family room didn't have towel racks in the bathroom, which was inconvenient when bathing/showering, and there was only one light switch for such a large bathroom.  On a separate note, a few times the front desk seemed short-staffed, despite several large events that were happening during our stay. The breakfast buffet is only served on the weekends; during the week you need to choose a hot dish off the menu, which some might find limiting.",Belgium,Deluxe Double Room,5 nights ·,Family,May 2022,5 June 2022,1,
9.0,alway made to feel welcome by the amazing staff. the building is a fantastic and I would always reccomend this hotel to,staff were extremely helpful and the service is always exceptional. Joshua in particular,the spa faculties could do with an updating. a proper steam room and normal sauna is preferred,United Kingdom,Executive Double Room,1 night ·,Couple,April 2022,5 June 2022,,
10,Luxurious perfection from start to finish 24hrs a day,"The Landmark hotel is absolutely first class in every possible way; a luxury oasis in the heart of London with 5-star staff, services, food and facilities. It perfectly satisfied every aspect of our expectations and it was visibly evident, every moment of every day, from check-into check-out, that every single member of staff showed complete kind, happy and friendly dedication and passion in doing their individual job with care and consideration to provide the perfect experience for guests. Everything was faultlessly executed with dedicated hard work. It equals the Langham but takes 1st place for us. We will definitely be staying here again soon.",,United Kingdom,Family Room (2 Adults + 2 Children),3 nights ·,Family,June 2022,5 June 2022,,
9.0,great stay,"great location, nice spa, lovely breakfast",no espresso maker on the room. no sauna in gym,United Kingdom,Executive Double Room,2 nights ·,Family,May 2022,3 June 2022,1,
10,Exceptional,Lovely place,Did not notice,United Kingdom,Double Room,1 night ·,Couple,May 2022,2 June 2022,,
10,very easy place to stay when we down at Lords,space and charming doormen!,,United Kingdom,Deluxe Double Room,1 night ·,Couple,May 2022,1 June 2022,,
9.0,Great venue but more 4.5 than 5 stars,"Very nice hotel (great location, beautiful hall, great cocktail bar, very large rooms for London city-centre).Great Staff at reception / vallet service. They were very helpful to guide the family throughout their stay.","The restaurant Staff was not at all in line with the level of the restaurant prices and the hotel 5 stars level.One of the best sections of the hotel, within the Winter Garden, was not available for drinks (or others) after 5pm.",United Kingdom,Deluxe Double Room,5 nights ·,Family,May 2022,1 June 2022,,
9.0,lovely hotel in a beautiful setting,"staff are attentive, beautiful building and lovely atrium. especially nice to walk in and hear the pianist","beds were a little firm, breakfast was a buffet so some of it was like warm",United Kingdom,Double Room,1 night ·,Couple,May 2022,31 May 2022,,
10,Beyond the expectation and sure for come back for the next trip!,"My friend had wedding first look in the hotel. So I also booked this hotel. The main hall with piano was amazing, tall palm trees and harmony atmosphere. I appreciated all the details. When we had dinner before the wedding day, staff thoughtfully gave my friend a cake written: Congratulations.  Smiles and greets, they were really adorable.",,France,Double Room,1 night ·,Group,May 2022,31 May 2022,,
10,Exceptional,The hotel is just special and Federica at the reception is a great hostess,That I couldn't stay longer,United Kingdom,Deluxe Double Room,1 night ·,Couple,May 2022,31 May 2022,,
10,amazing as always,best Hotel in London . the staff are really friendly and make you feel welcome . as soon as you walk through the door you just feel relaxed . love the place,nothing,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,May 2022,31 May 2022,,
9.0,Superb,Excellent breakfast.  Clean and spacious rooms.  Friendly staff.  Great location.,Waiting time for a table for breakfast was too long,Germany,Family Room (2 Adults + 2 Children),2 nights ·,Family,May 2022,30 May 2022,,
10,would recommend to friends and family and look forward to coming back,architecture and ambiance,,United Kingdom,Double Room,2 nights ·,Couple,May 2022,30 May 2022,,
9.0,lovely hotel in a nice area,very nice property,all good 👍,United Kingdom,Double Room,2 nights ·,Couple,May 2022,30 May 2022,,
10,perfection,"the staff were incredible, room beautiful, the ambiance was so comfortable but special and felt so perfect. the spa was lovely, breakfast amazing, it felt luxurious. dinner delicious, piano player lovely",nothing,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,May 2022,29 May 2022,,
10,Exceptional,"excellent customer service from staff, friendly, and very well-staffed.  Wonderful decor inside and maintained to very high standard.",swimming pool changing rooms perhaps needing refresh.,Germany,Family Room (2 Adults + 2 Children),2 nights ·,Family,April 2022,29 May 2022,,
10,Exceptional,"Marvelous place , lovie it",,United Kingdom,Deluxe Double Room,1 night ·,Couple,May 2022,27 May 2022,,
10,service levels for me are the best part of the hotel,Morden and classic,pool times for kids too short,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,May 2022,27 May 2022,,
10,Exceptional,"Nothing bad to say here!Myself and my fiancé stayed for the night for her 30th birthday. All the staff was amazing and so attentive. They all knew straight away it was her birtbday and added extra treats with cakes sent to the room and to our table.The room was so clean and tidy and they gave us a fantastic view looking over the winter garden restaurant.The food was superb and the cocktails was a nice way to finish.Can't speak higher of the staff though. 10/10 start to finish. From the reception, concierge, piano player, waiters and waitressses, people working in the spa, bar staff and more.",N/A,United Kingdom,Double Room,1 night ·,Couple,May 2022,27 May 2022,1,
10,Great and comfortable place.,locations is great and lot of coffee shops and restaurants around the place. near to tube and train station.,,Saudi Arabia,Family Room (2 Adults + 2 Children),3 nights ·,Group,May 2022,27 May 2022,1,
10,perfect,although a very large property there was a very personal attention to detail breakfast was great suite very large - well appointed - clean and extremely comfortable,we loved it all,United Kingdom,Landmark Junior Suite,1 night ·,Couple,May 2022,26 May 2022,1,
9.0,a great place to stay when visiting London,wonderful staff and amazing hospitality,,Saudi Arabia,Double Room,1 night ·,Family,May 2022,24 May 2022,1,
8.0,amazing! loved my stay and the experience was incredible,The Landmark is an fabulous hotel with amazing atmosphere! there’s obviously lots of thought behind it and everything’s been thought of down to the smallest details. staff are extremely helpful and must work very hard to maintain the standard of the place. breakfast was amazing and it was a delight to stay here!,"I wasn’t told there’s be and additional £100 deposit. it was fine but felt a bit put out due to not being told at any point of the booking process. The receptionist, although very nice, didn’t tell me and then charged my card the deposit and after she’d taken the payment explained it to me. she said that had I booked though their website it would have informed me but that I doesn’t notify guests who book  through Booking.com",United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Couple,May 2022,22 May 2022,,
10,excellent,staff were superb,nothing,United Kingdom,Deluxe Double Room,2 nights ·,Couple,May 2022,19 May 2022,,
10,beautiful,"friendly, kind and accommodating staff",.,United Kingdom,Double Room,1 night ·,Couple,May 2022,16 May 2022,,
10,"we had a wonderful stay, everything was beautiful, staff attentive and breakfast was excellent","from the moment we arrived at the Landmark Hotel we were impressed, the magnificent architecture is outstanding",everything was fab,United Kingdom,Executive Double Room,1 night ·,Group,May 2022,14 May 2022,,
